Site ProfileID Date Chainage Elevation Flag
DUCK P-100 1998-01-27 132.41 -2.53 GPS
DUCK P-100 1998-01-27 133.01 -2.54 GPS
DUCK P-100 1998-01-27 133.51 -2.55 GPS
DUCK P-100 1998-01-27 134.11 -2.58 GPS
DUCK P-100 1998-01-27 134.71 -2.61 GPS
DUCK P-100 1998-01-27 135.21 -2.61 GPS
DUCK P-100 1998-01-27 135.71 -2.62 GPS
DUCK P-100 1998-01-27 136.31 -2.63 GPS
DUCK P-100 1998-01-27 136.81 -2.63 GPS
DUCK P-100 1998-01-27 137.41 -2.65 GPS
DUCK P-100 1998-01-27 137.91 -2.67 GPS
DUCK P-100 1998-01-27 138.51 -2.66 GPS
DUCK P-100 1998-01-27 139.01 -2.66 GPS
DUCK P-100 1998-01-27 139.51 -2.68 GPS
DUCK P-100 1998-01-27 140.11 -2.68 GPS
DUCK P-100 1998-01-27 140.71 -2.69 GPS
DUCK P-100 1998-01-27 141.21 -2.70 GPS
DUCK P-100 1998-01-27 141.81 -2.72 GPS
DUCK P-100 1998-01-27 144.11 -2.74 GPS
DUCK P-100 1998-01-27 144.61 -2.76 GPS
DUCK P-100 1998-01-27 146.51 -2.79 GPS
DUCK P-100 1998-01-27 146.91 -2.80 GPS
DUCK P-100 1998-01-27 147.31 -2.74 GPS
DUCK P-100 1998-01-27 147.71 -2.71 GPS
DUCK P-100 1998-01-27 148.41 -2.71 GPS
DUCK P-100 1998-01-27 149.01 -2.75 GPS
DUCK P-100 1998-01-27 149.71 -2.76 GPS
DUCK P-100 1998-01-27 150.31 -2.80 GPS
DUCK P-100 1998-01-27 150.91 -2.80 GPS
DUCK P-100 1998-01-27 151.51 -2.80 GPS
DUCK P-100 1998-01-27 153.41 -2.83 GPS
DUCK P-100 1998-01-27 153.91 -2.85 GPS
DUCK P-100 1998-01-27 154.41 -2.84 GPS
DUCK P-100 1998-01-27 154.91 -2.79 GPS
DUCK P-100 1998-01-27 155.51 -2.78 GPS
DUCK P-100 1998-01-27 156.01 -2.78 GPS
DUCK P-100 1998-01-27 156.71 -2.77 GPS
DUCK P-100 1998-01-27 157.41 -2.77 GPS
DUCK P-100 1998-01-27 159.11 -2.76 GPS
DUCK P-100 1998-01-27 159.71 -2.77 GPS
DUCK P-100 1998-01-27 160.41 -2.76 GPS
DUCK P-100 1998-01-27 160.91 -2.76 GPS
DUCK P-100 1998-01-27 161.41 -2.77 GPS
DUCK P-100 1998-01-27 162.51 -2.75 GPS
DUCK P-100 1998-01-27 163.21 -2.75 GPS
DUCK P-100 1998-01-27 163.81 -2.75 GPS
DUCK P-100 1998-01-27 164.41 -2.75 GPS
DUCK P-100 1998-01-27 165.01 -2.75 GPS
DUCK P-100 1998-01-27 165.61 -2.75 GPS
DUCK P-100 1998-01-27 166.21 -2.77 GPS
DUCK P-100 1998-01-27 167.01 -2.78 GPS
DUCK P-100 1998-01-27 167.51 -2.78 GPS
DUCK P-100 1998-01-27 168.11 -2.79 GPS
DUCK P-100 1998-01-27 168.81 -2.79 GPS
DUCK P-100 1998-01-27 169.31 -2.79 GPS
DUCK P-100 1998-01-27 169.91 -2.80 GPS
DUCK P-100 1998-01-27 170.51 -2.82 GPS
DUCK P-100 1998-01-27 171.01 -2.83 GPS
DUCK P-100 1998-01-27 171.61 -2.83 GPS
DUCK P-100 1998-01-27 172.31 -2.84 GPS
DUCK P-100 1998-01-27 172.91 -2.85 GPS
DUCK P-100 1998-01-27 173.61 -2.86 GPS
DUCK P-100 1998-01-27 174.11 -2.87 GPS
DUCK P-100 1998-01-27 174.71 -2.87 GPS
DUCK P-100 1998-01-27 175.21 -2.89 GPS
DUCK P-100 1998-01-27 175.71 -2.90 GPS
DUCK P-100 1998-01-27 176.31 -2.91 GPS
DUCK P-100 1998-01-27 176.91 -2.92 GPS
DUCK P-100 1998-01-27 177.51 -2.92 GPS
DUCK P-100 1998-01-27 178.01 -2.93 GPS
DUCK P-100 1998-01-27 178.71 -2.95 GPS
