Easting	Northing	Elevation_OD	Chainage	FC	Profile	Reg_ID
421779.915	93110.356	4.254	45.600	ZZ	N/A	5f00228
421779.925	93110.156	4.253	45.800	ZZ	N/A	5f00228
421779.936	93109.956	4.252	46.000	ZZ	N/A	5f00228
421779.946	93109.756	4.252	46.200	ZZ	N/A	5f00228
421779.956	93109.557	4.252	46.400	ZZ	N/A	5f00228
421779.967	93109.357	4.249	46.600	ZZ	N/A	5f00228
421779.977	93109.157	4.245	46.800	ZZ	N/A	5f00228
421779.988	93108.957	4.241	47.000	ZZ	N/A	5f00228
421779.998	93108.758	4.240	47.200	ZZ	N/A	5f00228
421780.009	93108.558	4.239	47.400	ZZ	N/A	5f00228
421780.019	93108.358	4.238	47.600	ZZ	N/A	5f00228
421780.030	93108.159	4.237	47.800	ZZ	N/A	5f00228
421780.040	93107.959	4.236	48.000	ZZ	N/A	5f00228
421780.051	93107.759	4.236	48.200	ZZ	N/A	5f00228
421780.061	93107.559	4.237	48.400	ZZ	N/A	5f00228
421780.072	93107.360	4.233	48.600	ZZ	N/A	5f00228
421780.082	93107.160	4.227	48.800	ZZ	N/A	5f00228
421780.093	93106.960	4.224	49.000	ZZ	N/A	5f00228
421780.103	93106.760	4.224	49.200	ZZ	N/A	5f00228
421780.113	93106.561	4.222	49.400	ZZ	N/A	5f00228
421780.124	93106.361	4.220	49.600	ZZ	N/A	5f00228
421780.134	93106.161	4.218	49.800	ZZ	N/A	5f00228
421780.145	93105.962	4.216	50.000	ZZ	N/A	5f00228
421780.155	93105.762	4.215	50.200	ZZ	N/A	5f00228
421780.166	93105.562	4.213	50.400	ZZ	N/A	5f00228
421780.176	93105.362	4.211	50.600	ZZ	N/A	5f00228
421780.187	93105.163	4.209	50.800	ZZ	N/A	5f00228
421780.197	93104.963	4.208	51.000	ZZ	N/A	5f00228
421780.208	93104.763	4.206	51.200	ZZ	N/A	5f00228
421780.218	93104.563	4.204	51.400	ZZ	N/A	5f00228
421780.229	93104.364	4.202	51.600	ZZ	N/A	5f00228
421780.239	93104.164	4.201	51.800	ZZ	N/A	5f00228
421780.249	93103.964	4.199	52.000	ZZ	N/A	5f00228
421780.260	93103.765	4.197	52.200	ZZ	N/A	5f00228
421780.270	93103.565	4.206	52.400	ZZ	N/A	5f00228
421780.281	93103.365	4.234	52.600	ZZ	N/A	5f00228
421780.291	93103.165	4.262	52.800	ZZ	N/A	5f00228
421780.302	93102.966	4.290	53.000	ZZ	N/A	5f00228
421780.312	93102.766	4.284	53.200	ZZ	N/A	5f00228
421780.323	93102.566	4.289	53.400	ZZ	N/A	5f00228
421780.333	93102.367	4.295	53.600	ZZ	N/A	5f00228
421780.344	93102.167	4.300	53.800	ZZ	N/A	5f00228
421780.354	93101.967	4.306	54.000	ZZ	N/A	5f00228
421780.365	93101.767	4.312	54.200	ZZ	N/A	5f00228
421780.375	93101.568	4.321	54.400	ZZ	N/A	5f00228
421780.385	93101.368	4.335	54.600	ZZ	N/A	5f00228
421780.396	93101.168	4.326	54.800	ZZ	N/A	5f00228
421780.406	93100.968	4.277	55.000	ZZ	N/A	5f00228
421780.417	93100.769	4.227	55.200	ZZ	N/A	5f00228
421780.427	93100.569	4.178	55.400	ZZ	N/A	5f00228
421780.438	93100.369	4.128	55.600	ZZ	N/A	5f00228
421780.448	93100.170	4.082	55.800	ZZ	N/A	5f00228
421780.459	93099.970	4.040	56.000	ZZ	N/A	5f00228
421780.469	93099.770	3.995	56.200	ZZ	N/A	5f00228
421780.480	93099.570	3.953	56.400	ZZ	N/A	5f00228
421780.490	93099.371	3.912	56.600	ZZ	N/A	5f00228
421780.501	93099.171	3.870	56.800	ZZ	N/A	5f00228
421780.511	93098.971	3.829	57.000	ZZ	N/A	5f00228
421780.522	93098.771	3.787	57.200	ZZ	N/A	5f00228
421780.532	93098.572	3.745	57.400	ZZ	N/A	5f00228
421780.543	93098.372	3.704	57.600	ZZ	N/A	5f00228
421780.553	93098.172	3.682	57.800	ZZ	N/A	5f00228
421780.563	93097.973	3.658	58.000	ZZ	N/A	5f00228
421780.574	93097.773	3.627	58.200	ZZ	N/A	5f00228
421780.584	93097.573	3.596	58.400	ZZ	N/A	5f00228
421780.595	93097.373	3.570	58.600	ZZ	N/A	5f00228
421780.605	93097.174	3.552	58.800	ZZ	N/A	5f00228
421780.616	93096.974	3.470	59.000	ZZ	N/A	5f00228
421780.626	93096.774	3.390	59.200	ZZ	N/A	5f00228
421780.637	93096.574	3.310	59.400	ZZ	N/A	5f00228
421780.647	93096.375	3.230	59.600	ZZ	N/A	5f00228
421780.658	93096.175	3.150	59.800	ZZ	N/A	5f00228
421780.668	93095.975	3.070	60.000	ZZ	N/A	5f00228
421780.679	93095.776	2.990	60.200	ZZ	N/A	5f00228
421780.689	93095.576	2.910	60.400	ZZ	N/A	5f00228
421780.700	93095.376	2.822	60.600	ZZ	N/A	5f00228
421780.710	93095.176	2.706	60.800	ZZ	N/A	5f00228
421780.720	93094.977	2.590	61.000	ZZ	N/A	5f00228
421780.731	93094.777	2.474	61.200	ZZ	N/A	5f00228
421780.741	93094.577	2.358	61.400	ZZ	N/A	5f00228
421780.752	93094.377	2.242	61.600	ZZ	N/A	5f00228
421780.762	93094.178	2.127	61.800	ZZ	N/A	5f00228
421780.773	93093.978	2.021	62.000	ZZ	N/A	5f00228
421780.783	93093.778	1.953	62.200	ZZ	N/A	5f00228
421780.794	93093.579	1.897	62.400	ZZ	N/A	5f00228
421780.804	93093.379	1.841	62.600	ZZ	N/A	5f00228
421780.815	93093.179	1.785	62.800	ZZ	N/A	5f00228
421780.825	93092.979	1.777	63.000	ZZ	N/A	5f00228
421780.836	93092.780	1.780	63.200	ZZ	N/A	5f00228
421780.846	93092.580	1.782	63.400	ZZ	N/A	5f00228
421780.857	93092.380	1.744	63.600	ZZ	N/A	5f00228
421780.867	93092.180	1.643	63.800	ZZ	N/A	5f00228
421780.878	93091.981	1.542	64.000	ZZ	N/A	5f00228
421780.888	93091.781	1.441	64.200	ZZ	N/A	5f00228
421780.898	93091.581	1.311	64.400	ZZ	N/A	5f00228
421780.909	93091.382	1.166	64.600	ZZ	N/A	5f00228
421780.919	93091.182	1.020	64.800	ZZ	N/A	5f00228
421780.930	93090.982	0.893	65.000	ZZ	N/A	5f00228
421780.940	93090.782	0.885	65.200	ZZ	N/A	5f00228
421780.951	93090.583	0.922	65.400	ZZ	N/A	5f00228
