Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  04-Jan-2018 10:30:00	50.73457	-0.49342	0	2.130	3.770	7.7	5.0	211	 14	9.3
  04-Jan-2018 11:00:00	50.73457	-0.49344	0	2.520	4.980	7.7	5.3	211	 17	9.2
  04-Jan-2018 11:30:00	50.73460	-0.49351	0	2.910	4.860	9.1	5.8	218	 15	9.2
  04-Jan-2018 12:00:00	50.73455	-0.49355	0	3.220	5.300	9.1	6.2	219	 11	9.2
  04-Jan-2018 12:30:00	50.73460	-0.49361	0	3.100	5.460	9.1	6.2	218	 13	9.2
  04-Jan-2018 13:00:00	50.73464	-0.49393	0	3.210	4.300	11.1	6.5	217	 11	9.2
  04-Jan-2018 13:30:00	50.73447	-0.49434	0	2.970	4.770	11.1	6.3	215	 11	9.3
  04-Jan-2018 14:00:00	50.73431	-0.49449	0	2.710	4.130	11.1	6.3	222	 17	9.3
  04-Jan-2018 14:30:00	50.73428	-0.49451	0	2.770	4.400	10.5	6.3	214	 15	9.2
  04-Jan-2018 15:00:00	50.73422	-0.49449	0	2.830	3.930	9.1	6.3	217	 15	9.2
  04-Jan-2018 15:30:00	50.73419	-0.49445	0	2.740	3.520	10.0	6.2	218	 14	9.1
  04-Jan-2018 16:00:00	50.73417	-0.49441	0	2.440	3.090	10.0	5.9	218	 15	9.0
  04-Jan-2018 16:30:00	50.73416	-0.49436	0	2.350	3.380	10.0	5.9	217	 15	8.9
  04-Jan-2018 17:00:00	50.73411	-0.49432	0	2.160	2.670	7.1	5.3	225	 15	8.9
  04-Jan-2018 17:30:00	50.73409	-0.49421	5	1.930	2.640	10.0	5.0	214	 17	9.0
  04-Jan-2018 18:00:00	50.73405	-0.49415	5	1.790	2.530	10.0	5.0	214	  9	9.1
  04-Jan-2018 18:30:00	50.73409	-0.49396	5	1.700	2.130	11.1	4.5	211	 10	9.1
  04-Jan-2018 19:00:00	50.73428	-0.49355	5	1.650	2.030	10.0	4.5	217	 11	9.1
  04-Jan-2018 19:30:00	50.73434	-0.49346	5	1.500	2.280	11.1	4.1	215	 17	8.8
  04-Jan-2018 20:00:00	50.73444	-0.49342	5	1.420	1.870	10.5	3.9	208	 24	8.8
  04-Jan-2018 20:30:00	50.73448	-0.49342	5	1.310	1.890	9.1	3.7	208	 22	8.8
  04-Jan-2018 21:00:00	50.73450	-0.49338	5	1.320	2.730	10.0	4.1	205	 20	8.8
  04-Jan-2018 21:30:00	50.73449	-0.49335	5	1.310	2.130	9.1	4.3	205	 17	9.0
  04-Jan-2018 22:00:00	50.73451	-0.49338	5	1.460	2.350	11.8	4.9	208	 15	9.1
  04-Jan-2018 22:30:00	50.73453	-0.49342	0	1.530	3.020	8.3	5.3	207	 14	8.9
  04-Jan-2018 23:00:00	50.73458	-0.49346	0	1.850	3.420	8.3	4.8	207	 13	9.1
  04-Jan-2018 23:30:00	50.73460	-0.49348	5	2.100	3.570	10.0	4.8	211	 20	9.1
  05-Jan-2018 00:00:00	50.73448	-0.49342	0	2.220	3.790	8.3	5.2	214	 15	9.1
  05-Jan-2018 00:30:00	50.73458	-0.49359	0	2.310	4.090	10.0	5.6	215	 13	9.2
  05-Jan-2018 01:00:00	50.73465	-0.49378	0	2.430	3.700	8.3	5.8	218	 12	9.1
  05-Jan-2018 01:30:00	50.73455	-0.49408	0	2.450	3.280	10.5	6.0	217	 13	9.1
  05-Jan-2018 02:00:00	50.73433	-0.49447	0	2.330	3.170	9.1	6.1	218	 12	9.1
  05-Jan-2018 02:30:00	50.73429	-0.49453	0	2.160	2.880	9.1	6.1	212	 17	9.0
  05-Jan-2018 03:00:00	50.73425	-0.49458	0	1.960	2.410	6.7	5.7	214	 19	9.0
  05-Jan-2018 03:30:00	50.73425	-0.49456	0	1.910	2.480	7.1	5.7	218	 21	8.9
  05-Jan-2018 04:00:00	50.73423	-0.49453	0	1.660	2.060	9.1	5.3	217	 17	8.8
  05-Jan-2018 04:30:00	50.73421	-0.49451	0	1.440	1.780	7.7	5.3	218	 16	8.8
  05-Jan-2018 05:00:00	50.73421	-0.49449	0	1.270	1.960	9.1	4.8	217	 22	8.8
  05-Jan-2018 05:30:00	50.73419	-0.49445	0	1.230	1.600	6.3	4.6	219	 25	8.8
  05-Jan-2018 06:00:00	50.73417	-0.49441	0	1.200	1.910	8.3	4.5	215	 19	8.8
  05-Jan-2018 06:30:00	50.73417	-0.49438	0	1.190	1.710	5.9	4.4	217	 21	8.9
  05-Jan-2018 07:00:00	50.73420	-0.49423	0	1.160	1.660	6.7	4.1	217	 15	8.9
  05-Jan-2018 07:30:00	50.73447	-0.49368	0	1.170	1.720	6.3	4.0	215	 14	8.9
  05-Jan-2018 08:00:00	50.73449	-0.49361	0	1.180	1.890	5.3	3.9	218	 21	8.9
  05-Jan-2018 08:30:00	50.73444	-0.49346	0	1.220	2.010	5.0	3.7	218	 23	8.8
  05-Jan-2018 09:00:00	50.73452	-0.49344	0	1.290	1.770	4.2	3.6	217	 25	8.7
  05-Jan-2018 09:30:00	50.73452	-0.49340	0	1.260	2.080	3.7	3.6	224	 29	8.8
  05-Jan-2018 10:00:00	50.73450	-0.49338	5	1.410	2.370	11.1	3.9	207	 20	8.8
  05-Jan-2018 10:30:00	50.73451	-0.49340	5	1.370	2.330	11.1	4.2	211	 18	8.9
  05-Jan-2018 11:00:00	50.73453	-0.49342	0	1.510	2.840	8.3	4.4	210	 16	8.9
  05-Jan-2018 11:30:00	50.73455	-0.49346	0	1.770	3.580	7.7	4.8	215	 17	9.0
  05-Jan-2018 12:00:00	50.73458	-0.49351	5	1.990	3.390	10.5	5.1	215	 18	9.1
  05-Jan-2018 12:30:00	50.73456	-0.49351	0	2.060	3.560	8.3	5.2	217	 13	9.1
  05-Jan-2018 13:00:00	50.73461	-0.49363	0	2.160	3.070	8.3	5.5	217	 13	9.1
  05-Jan-2018 13:30:00	50.73464	-0.49393	0	2.180	3.320	8.3	5.7	218	 13	9.1
  05-Jan-2018 14:00:00	50.73435	-0.49441	0	2.240	3.740	10.0	6.0	221	 11	9.1
  05-Jan-2018 14:30:00	50.73433	-0.49451	0	1.970	3.090	8.3	5.7	215	 17	9.0
  05-Jan-2018 15:00:00	50.73426	-0.49453	0	1.940	2.640	9.1	5.8	217	 18	8.9
  05-Jan-2018 15:30:00	50.73426	-0.49453	0	1.730	2.410	9.1	5.5	215	 16	8.8
  05-Jan-2018 16:00:00	50.73424	-0.49453	0	1.570	2.650	6.3	5.3	219	 19	8.8
  05-Jan-2018 16:30:00	50.73423	-0.49449	0	1.470	1.760	7.1	5.1	217	 18	8.7
  05-Jan-2018 17:00:00	50.73420	-0.49447	0	1.350	1.660	5.0	4.8	229	 29	8.7
  05-Jan-2018 17:30:00	50.73419	-0.49445	0	1.240	1.410	7.1	4.7	215	 26	8.7
  05-Jan-2018 18:00:00	50.73417	-0.49443	0	1.070	1.590	5.0	4.3	215	 34	8.8
  05-Jan-2018 18:30:00	50.73417	-0.49441	0	1.010	1.160	6.7	4.3	219	 19	8.8
  05-Jan-2018 19:00:00	50.73414	-0.49434	0	0.900	1.200	6.3	4.1	218	 21	8.8
  05-Jan-2018 19:30:00	50.73414	-0.49426	0	0.850	1.150	5.3	4.3	210	 22	8.8
  05-Jan-2018 20:00:00	50.73424	-0.49406	0	0.790	1.280	6.7	4.2	215	 18	8.8
  05-Jan-2018 20:30:00	50.73447	-0.49363	5	0.810	1.310	14.3	4.2	212	 24	8.8
  05-Jan-2018 21:00:00	50.73449	-0.49353	5	0.870	1.310	12.5	3.9	210	 24	8.7
  05-Jan-2018 21:30:00	50.73450	-0.49346	5	0.830	1.190	11.8	3.7	203	 19	8.7
  05-Jan-2018 22:00:00	50.73450	-0.49342	5	0.880	1.640	11.8	4.2	207	 15	8.8
  05-Jan-2018 22:30:00	50.73450	-0.49342	5	0.990	1.520	11.1	4.9	208	 17	8.8
  05-Jan-2018 23:00:00	50.73453	-0.49344	5	0.990	1.660	11.1	5.0	210	 25	8.8
  05-Jan-2018 23:30:00	50.73454	-0.49344	0	1.230	1.840	10.5	6.0	210	 17	8.9
  06-Jan-2018 00:00:00	50.73457	-0.49351	0	1.250	2.290	11.1	6.1	217	 20	8.9
  06-Jan-2018 00:30:00	50.73457	-0.49355	0	1.420	2.830	11.8	6.1	214	 18	9.0
  06-Jan-2018 01:00:00	50.73461	-0.49359	5	1.550	2.820	12.5	6.2	217	 14	9.1
  06-Jan-2018 01:30:00	50.73465	-0.49385	0	1.860	3.360	12.5	6.9	218	 13	9.0
  06-Jan-2018 02:00:00	50.73451	-0.49438	0	1.870	2.350	10.0	7.0	219	 10	9.0
  06-Jan-2018 02:30:00	50.73432	-0.49451	0	1.800	2.260	8.3	6.9	219	 14	8.9
  06-Jan-2018 03:00:00	50.73426	-0.49456	0	1.400	1.730	10.0	6.3	212	 26	8.8
  06-Jan-2018 03:30:00	50.73426	-0.49458	0	1.310	1.640	10.5	6.3	224	 24	8.7
  06-Jan-2018 04:00:00	50.73425	-0.49458	5	1.170	1.430	15.4	6.2	225	 25	8.7
  06-Jan-2018 04:30:00	50.73425	-0.49458	0	1.070	1.200	10.0	5.9	222	 18	8.7
  06-Jan-2018 05:00:00	50.73423	-0.49453	5	0.890	1.100	15.4	5.4	224	 28	8.8
  06-Jan-2018 05:30:00	50.73420	-0.49451	5	0.820	1.230	10.0	4.5	224	 20	8.8
