Site ProfileID Date Chainage Elevation Flag
DUCK P-100 1998-02-01 136.46 -2.25 GPS
DUCK P-100 1998-02-01 137.17 -2.28 GPS
DUCK P-100 1998-02-01 137.75 -2.31 GPS
DUCK P-100 1998-02-01 138.41 -2.34 GPS
DUCK P-100 1998-02-01 138.96 -2.36 GPS
DUCK P-100 1998-02-01 139.44 -2.39 GPS
DUCK P-100 1998-02-01 139.76 -2.38 GPS
DUCK P-100 1998-02-01 140.26 -2.43 GPS
DUCK P-100 1998-02-01 140.73 -2.44 GPS
DUCK P-100 1998-02-01 141.51 -2.47 GPS
DUCK P-100 1998-02-01 141.86 -2.49 GPS
DUCK P-100 1998-02-01 142.32 -2.49 GPS
DUCK P-100 1998-02-01 142.82 -2.52 GPS
DUCK P-100 1998-02-01 143.43 -2.54 GPS
DUCK P-100 1998-02-01 143.79 -2.56 GPS
DUCK P-100 1998-02-01 144.24 -2.58 GPS
DUCK P-100 1998-02-01 144.58 -2.59 GPS
DUCK P-100 1998-02-01 144.90 -2.60 GPS
DUCK P-100 1998-02-01 145.40 -2.62 GPS
DUCK P-100 1998-02-01 146.02 -2.63 GPS
DUCK P-100 1998-02-01 146.52 -2.65 GPS
DUCK P-100 1998-02-01 146.85 -2.68 GPS
DUCK P-100 1998-02-01 147.85 -2.72 GPS
DUCK P-100 1998-02-01 148.48 -2.76 GPS
DUCK P-100 1998-02-01 148.97 -2.77 GPS
DUCK P-100 1998-02-01 149.59 -2.78 GPS
DUCK P-100 1998-02-01 150.08 -2.80 GPS
DUCK P-100 1998-02-01 150.65 -2.82 GPS
DUCK P-100 1998-02-01 151.13 -2.84 GPS
DUCK P-100 1998-02-01 151.76 -2.86 GPS
DUCK P-100 1998-02-01 152.25 -2.88 GPS
DUCK P-100 1998-02-01 152.87 -2.91 GPS
DUCK P-100 1998-02-01 153.50 -2.92 GPS
DUCK P-100 1998-02-01 154.07 -2.95 GPS
DUCK P-100 1998-02-01 154.56 -2.96 GPS
DUCK P-100 1998-02-01 155.04 -2.97 GPS
DUCK P-100 1998-02-01 155.53 -2.98 GPS
DUCK P-100 1998-02-01 156.15 -3.03 GPS
DUCK P-100 1998-02-01 156.78 -3.03 GPS
DUCK P-100 1998-02-01 157.21 -3.05 GPS
DUCK P-100 1998-02-01 157.84 -3.05 GPS
DUCK P-100 1998-02-01 158.32 -3.08 GPS
DUCK P-100 1998-02-01 158.95 -3.09 GPS
DUCK P-100 1998-02-01 159.43 -3.10 GPS
DUCK P-100 1998-02-01 159.86 -3.11 GPS
DUCK P-100 1998-02-01 160.35 -3.13 GPS
DUCK P-100 1998-02-01 160.69 -3.13 GPS
DUCK P-100 1998-02-01 161.03 -3.14 GPS
DUCK P-100 1998-02-01 161.66 -3.16 GPS
DUCK P-100 1998-02-01 162.29 -3.19 GPS
DUCK P-100 1998-02-01 162.77 -3.18 GPS
DUCK P-100 1998-02-01 163.40 -3.19 GPS
DUCK P-100 1998-02-01 164.03 -3.20 GPS
DUCK P-100 1998-02-01 164.45 -3.23 GPS
DUCK P-100 1998-02-01 165.08 -3.23 GPS
DUCK P-100 1998-02-01 165.57 -3.25 GPS
DUCK P-100 1998-02-01 165.91 -3.28 GPS
DUCK P-100 1998-02-01 166.25 -3.26 GPS
DUCK P-100 1998-02-01 166.88 -3.28 GPS
DUCK P-100 1998-02-01 168.42 -3.31 GPS
